序号,粤语,普通话,新拟粤语（广州音）拼音,场景,来源
86,踩脚唔落,习语。处所脏乱，没有下脚的地方：间房都～喇，仲唔执下佢［房间都乱得没有下脚的地方了，还不收拾一下］！,caai3goeg8m2log9,四字组习语,现代粤语词典-1290
87,踩亲条尾,习语。冒犯、得罪某人：做乜咁恶啊，踩亲你条尾咩［这么凶干嘛，我得罪你了吗］！,caai3can1tiu2mei4,四字组习语,现代粤语词典-1291
88,餐揾餐食,习语。每天挣的钱只够当天用，有上顿没下顿：呢排个市唔好，日日都系～咋［最近市场状况不好，每天都是有上顿没下顿］。,caan1wan3caan1sig9,四字组习语,现代粤语词典-1292
89,惨不忍睹,习语。凄惨得叫人不忍心看，形容极其悲惨。,caam3bad7yan3dou3,四字组习语,现代粤语词典-1293
90,惨无人道,习语。残酷到没有人性：你噉做真系～［你这样做真是太没人性了］。,caam3mou2yan2dou6,四字组习语,现代粤语词典-1294
91,操之过急,习语。办事情过于急躁：不可～。,cou1zi1gwo5gab7,四字组习语,现代粤语词典-1295
92,嘈嘈闭闭,习语。吵吵闹闹的样子：班细路成日都～嘅［这群小孩子整天都吵吵闹闹的］。,cou2cou2bai5bai5,四字组习语,现代粤语词典-1296
93,嘈喧巴闭,习语。声音吵闹到难以忍受的程度：再～就你出去［再吵吵嚷嚷就把你赶出去］。又说“喧巴嘈闭”（833页）。,cou2hyun1baa1bai5,四字组习语,现代粤语词典-1297
94,侧头侧脑,习语。歪脖子。,zag7tau2zag7nou4,四字组习语,现代粤语词典-1298
95,参差不齐,习语。不整齐或水平不一：啲嘢~［东西不整齐］。佢哋嘅水平～［他们的水平不一］。,cam1ci1 bad7cai2,四字组习语,现代粤语词典-1299
96,插嘴插舌,习语。插嘴；多嘴：等人哋讲完先啦，～好冇礼貌［等别人先说完吧，中间插话很没礼貌］。,caab8zoey3 caab8sid9,四字组习语,现代粤语词典-1300
97,茶余饭后,习语。茶饭后的一段空闲休息时间：～，一齐倾下偈啦［茶饭后休息时间，一起聊聊天吧］。,caa2yu2 faan6hau6,四字组习语,现代粤语词典-1301
98,搽脂荡粉,习语。涂脂抹粉：睇佢咁贪靓，～［看她那么爱美，涂脂抹粉的］｜今日有乜活动吖，个个都～［今天有什么活动，怎么每个人都涂脂抹粉］？,caa2zi1 dong6fan3,四字组习语,现代粤语词典-1302
99,差天共地,习语。天差地别。,caa1tin1gung6dei6,四字组习语,现代粤语词典-1303
100,拆棚做过,习语。从头再来；重新开始。,caag8paang2zou6gwo5,四字组习语,现代粤语词典-1304
101,长命工夫,习语。指工期长、需要投入很多精力的工作：呢啲～畀啲心机慢慢做啦［这些费时间的工作用心慢慢做了］。,coeng2meng6 gung1fu1,四字组习语,现代粤语词典-1305
102,长期饭票,习语。女性能够终身依靠的伴侣：揾到张～［找了个能够终身依靠的伴侣］。,coeng2kei2faan6piu5,四字组习语,现代粤语词典-1306
103,长治久安,习语。指社会秩序长期安定太平：国家～。,coeng2zi6 gau3on1,四字组习语,现代粤语词典-1307
105,炒埋一碟,习语。一锅煮；新旧不分；新账老账一起算：一样还一样，唔好～［一码归一码，不要放在一起算］。,caau3maai2 yad7dib9,四字组习语,现代粤语词典-1309
106,炒虾拆蟹,习语。爱说脏话：喐啲就～，真系乞人憎［动不动说脏话，真是让人讨厌］。,caau3haa1 caag8haai4,四字组习语,现代粤语词典-1310
107,车天车地,习语。海阔天空、不着边际地吹嘘、胡扯：呢个人成日～，唔知讲乜［这个人整天胡吹乱扯，不知道说些什么］。,ce1tin1ce1dei6,四字组习语,现代粤语词典-1311
108,扯线公仔,习语。❶用线来操纵的木偶。又说“木头公仔”（527页）。➋比喻受人操纵的人：乜都听晒佢话，好似只～噉［什么都听他的，好像被人操纵的木偶］。,ce3sin5 gung1zai3,四字组习语,现代粤语词典-1312
109,尘埃落定,习语。比喻事情有了结局或结果：呢件事终于～喇［这件事终于有了结果］。,can2oi1 log9ding6,四字组习语,现代粤语词典-1313
110,陈皮咁旧,习语。比喻事物十分陈旧：对鞋～，唔好着喇［这双鞋那么旧，别穿了］。,can2pei2gam5gau6,四字组习语,现代粤语词典-1314
111,晨早流流,习语。同“晨早”。,san2zou3lau2lau2,四字组习语,现代粤语词典-1315
112,趁风使,习语。看到起风了就马上拉起船帆。比喻抓住有利时机，采取行动：做嘢要识～先得，唔好下下都要人哋叫先做［做事情得会看准时机来行动，别总是让别人叫你才去做］。又说“见风扯”“见风使”（338页）。,can5fung1 sai3lei4,四字组习语,现代粤语词典-1316
113,趁热打铁,习语。比喻抓紧时机、加速做事：事到如今，不如～，做埋啲手尾［事到如今，不如趁热打铁把工作做完］。又说“打铁趁热”（116页）。,can5yid9 daa3tid8,四字组习语,现代粤语词典-1317
114,成千上万,习语。形容数量非常多：～嘅球迷［许多球迷］。,sing2cin1soeng4maan6,四字组习语,现代粤语词典-1318
116,乘虚而入,习语。比喻乘着空虚疏漏的时候进入：你点可以～［你怎么可以乘虚而入］！,sing2hoey1yi2yab9,四字组习语,现代粤语词典-1320
117,痴心妄想,习语。一心想着不可能实现的事：一切都系我～［一切都是我痴心妄想］。,ci1sam1 mong4soeng3,四字组习语,现代粤语词典-1321
118,迟唔迟啲,习语。是否太晚了：散场先嚟，～啊［散场才来，是不是太晚了］？,ci2m2ci2di1,四字组习语,现代粤语词典-1322
119,持之以恒,习语。长久坚持下去：读书要～｜好习惯要～。,ci2zi1yi4hang2,四字组习语,现代粤语词典-1323
120,赤手空拳,习语。两手空空，没有任何凭借物：佢勇敢噉同歹徒～搏斗［他勇敢地和歹徒赤手空拳地搏斗］。又说“单手独拳”（129页）。,ceg8sau3 hung1kyun2,四字组习语,现代粤语词典-1324
121,充大头鬼,习语。充阔气；冒充有钱有势的人；打肿脸充胖子：唔使我哋面前～咯［别在我们面前打肿脸充胖子了］。,cung1 daai6tau2gwai3,四字组习语,现代粤语词典-1325
122,虫虫蚁蚁,习语。泛指各种小昆虫：屋企～咁多，快啲去买杀虫水［家里虫子这么多，快去买杀虫剂］。,cung2cung2ngai4ngai4,四字组习语,现代粤语词典-1326
123,臭屎密冚,习语。将粪便盖严实，比喻掩盖不让外露：呢啲嘢梗系～，唔畀人知啦［这些事当然是要捂住，不让外人知道］。,cau5si3 mad9kam3,四字组习语,现代粤语词典-1327
124,出尽八宝,习语。用尽办法：～都冇用啦［使尽浑身解数也没用了］。,coed7zoen6 baad8bou3,四字组习语,现代粤语词典-1328
125,初嚟菢到,习语。新来乍到：～就熟悉下环境先［新来乍到就先熟悉一下环境］。,co1lai2 bou6dou5,四字组习语,现代粤语词典-1329
126,除笨有精,习语。笨人也有聪明的时候。常用来安慰人：你唔使心灰，～吖嘛［你不必灰心，吃一堑长一智］。,coey2ban6 yau4zeng1,四字组习语,现代粤语词典-1330
127,除大赤脚,习语。打赤脚；光着脚丫。,coey2daai6ceg8goeg8,四字组习语,现代粤语词典-1331
128,除裤屙屁,习语。脱裤子放屁，比喻多此一举。,coey2fu5o1pei5 ,四字组习语,现代粤语词典-1332
